$PACKAGES
TCON_5x4mm!TCON_5x4mm! TCON_5x4MM; B1
TCON_5x4MM!TCON_5x4MM! TCON_5x4MM; B2
1206D!1206D! TEST_CON; B3
1206D!1206D! TEST_CON; B4
DIP2-Battery-P20!DIP2-Battery-P20! CR2032; BT1
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C1
0805!0805! 22uF/6.3V; C10
0603!0603! 0.1uF/16V; C11
0603!0603! 0.1uF/16V; C12
0603!0603! 0.1uF/16V; C13
0805!0805! 22uF/6.3V; C14
0603!0603! 0.1uF/16V; C15
0603!0603! 0.1uF/16V; C16
0603!0603! 0.1uF/16V; C17
0603!0603! 0.1uF/16V; C18
0805!0805! 22uF/6.3V; C19
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C2
0603!0603! 0.1uF/16V; C20
0603!0603! 0.1uF/16V; C21
0603!0603! 0.1uF/16V; C217
0603!0603! 0.1uF/16V; C218
0603!0603! 0.1uF/16V; C219
0603!0603! 0.1uF/16V; C22
0603!0603! 0.1uF/16V; C220
0805!0805! 22uF/6.3V; C23
0603!0603! 0.1uF/16V; C24
0805!0805! 22uF/6.3V; C245
0603!0603! 0.1uF/16V; C246
0805!0805! 22uF/6.3V; C247
0603!0603! 0.1uF/16V; C248
0603!0603! 0.1uF/16V; C249
0603!0603! 0.1uF/16V; C25
0805!0805! 22uF/6.3V; C250
0805!0805! 22uF/6.3V; C252
0603!0603! 0.1uF/16V; C253
0805!0805! 22uF/6.3V; C259
0805!0805! 22uF/6.3V; C26
0805!0805! 22uF/6.3V; C260
0603!0603! 0.1uF/16V; C261
0603!0603! 0.1uF/16V; C262
0805!0805! 22uF/6.3V; C263
0805!0805! 22uF/6.3V; C264
0603!0603! 0.1uF/16V; C265
0603!0603! 0.1uF/16V; C266
0603!0603! 0.1uF/16V; C267
0603!0603! 0.1uF/16V; C268
0603!0603! 0.1uF/16V; C269
0603!0603! 0.1uF/16V; C27
0603!0603! 0.1uF/16V; C270
0603!0603! 0.1uF/16V; C275
CT_B!CT_B! 22uF/16V; C276
CT_B!CT_B! 22uF/16V; C277
0603!0603! 0.1uF/16V; C278
0603!0603! 0.1uF/16V; C279
0603!0603! 0.1uF/16V; C28
0603!0603! 0.1uF/16V; C280
CT_B!CT_B! 22uF/16V; C281
CT_B!CT_B! 22uF/16V; C282
0603!0603! 0.1uF/16V; C283
0805!0805! 22uF/6.3V; C284
0805!0805! 22uF/6.3V; C285
0805!0805! 22uF/6.3V; C286
0603!0603! 0.1uF/16V; C287
0603!0603! 0.1uF/16V; C288
0603!0603! 0.1uF/16V; C289
0805!0805! 22uF/6.3V; C29
0603!0603! 0.1uF/16V; C290
0603!0603! 0.1uF/16V; C291
0603!0603! 0.1uF/16V; C292
0805!0805! 22uF/6.3V; C293
0603!0603! 0.1uF/16V; C294
0603!0603! 0.1uF/16V; C295
0603!0603! 0.1uF/16V; C296
1210!1210! 22uF/16V; C3
0805!0805! 22uF/6.3V; C30
0805!0805! 22uF/6.3V; C303
0603!0603! 0.1uF/16V; C304
0603!0603! 82nF/16V; C305
0603!0603! 0.01uF/50V; C306
0805!0805! 22uF/6.3V; C307
0603!0603! 0.1uF/16V; C308
0603!0603! 0.1uF/16V; C309
0603!0603! 0.1uF/16V; C31
0603!0603! 82nF/16V; C310
0805!0805! 22uF/6.3V; C311
0805!0805! 22uF/6.3V; C312
0603!0603! 0.1uF/16V; C313
0603!0603! 0.1uF/16V; C314
0805!0805! 22uF/6.3V; C315
0603!0603! 0.1uF/16V; C316
0603!0603! 0.1uF/16V; C317
0805!0805! 22uF/6.3V; C318
0805!0805! 22uF/6.3V; C319
0603!0603! 0.1uF/16V; C32
0603!0603! 0.1uF/16V; C320
0603!0603! 0.1uF/16V; C321
0603!0603! 0.1uF/16V; C322
0603!0603! 0.1uF/16V; C323
0603!0603! 0.1uF/16V; C324
0603!0603! 0.1uF/16V; C325
0805!0805! 22uF/6.3V; C326
0805!0805! 22uF/6.3V; C327
0603!0603! 0.1uF/16V; C328
0603!0603! 0.1uF/16V; C329
0603!0603! 0.1uF/16V; C33
0603!0603! 0.1uF/16V; C330
0603!0603! 0.1uF/16V; C331
0603!0603! 0.1uF/16V; C332
0603!0603! 0.1uF/16V; C333
0603!0603! 0.1uF/16V; C334
0603!0603! 0.1uF/16V; C335
0805!0805! 22uF/6.3V; C336
0805!0805! 22uF/6.3V; C337
0603!0603! 0.1uF/16V; C338
0603!0603! 0.1uF/16V; C339
0805!0805! 22uF/6.3V; C34
0603!0603! 0.1uF/16V; C340
0603!0603! 0.1uF/16V; C341
0603!0603! 0.1uF/16V; C342
0603!0603! 0.1uF/16V; C343
0603!0603! 0.1uF/16V; C344
0603!0603! 0.1uF/16V; C345
0603!0603! 0.1uF/16V; C346
0603!0603! 0.1uF/16V; C347
0805!0805! 22uF/6.3V; C348
0603!0603! 0.1uF/16V; C349
0603!0603! 0.1uF/16V; C35
0805!0805! 22uF/6.3V; C350
0603!0603! 0.1uF/16V; C351
0603!0603! 0.1uF/16V; C352
0603!0603! 0.1uF/16V; C353
0603!0603! 0.01uF/50V; C354
0805!0805! 22uF/6.3V; C355
0603!0603! 0.1uF/16V; C356
0603!0603! 0.1uF/16V; C357
0603!0603! 0.1uF/16V; C358
0805!0805! 22uF/6.3V; C359
0603!0603! 0.1uF/16V; C36
0805!0805! 22uF/6.3V; C360
0805!0805! 10uF/10V; C361
0603!0603! 0.1uF/16V; C362
0603!0603! 0.1uF/16V; C363
0603!0603! 0.1uF/16V; C364
0805!0805! 10uF/10V; C365
0603!0603! 0.1uF/16V; C366
0603!0603! 1uF/16V; C367
0603!0603! 4.7uF/16V; C368
0603!0603! 4.7uF/16V; C369
0805!0805! 22uF/6.3V; C37
0603!0603! 4.7uF/16V; C370
0603!0603! 4.7uF/16V; C371
0603!0603! 0.1uF/16V; C38
0603!0603! 0.1uF/16V; C39
0805!0805! 22uF/6.3V; C398
0805!0805! 22uF/6.3V; C399
1210!1210! 22uF/16V; C4
0603!0603! 0.1uF/16V; C40
0805!0805! 22uF/6.3V; C400
0603!0603! 0.1uF/16V; C401
0603!0603! 0.1uF/16V; C402
0603!0603! 0.1uF/16V; C403
0603!0603! 0.1uF/16V; C404
0603!0603! 0.1uF/16V; C405
0603!0603! 0.1uF/16V; C406
0603!0603! 20PF/16V; C407
0603!0603! 20PF/16V; C408
0603!0603! 0.1uF/16V; C41
0805!0805! 22uF/6.3V; C415
0805!0805! 22uF/6.3V; C416
0805!0805! 22uF/6.3V; C417
0805!0805! 22uF/6.3V; C418
0603!0603! 0.1uF/16V; C419
0603!0603! 1000pF/50V; C42
0603!0603! 0.1uF/16V; C420
0603!0603! 0.1uF/16V; C421
0603!0603! 0.1uF/16V; C422
0603!0603! 0.1uF/16V; C423
0603!0603! 0.1uF/16V; C424
0603!0603! 0.1uF/16V; C425
0603!0603! 0.1uF/16V; C426
0603!0603! 0.1uF/16V; C427
0603!0603! 0.1uF/16V; C428
0603!0603! 1uF/16V; C429
0603!0603! 0.1uF/16V; C43
0603!0603! 0.1uF/16V; C430
0603!0603! 0.1uF/16V; C431
0603!0603! 1uF/16V; C432
0603!0603! 0.1uF/16V; C433
0805!0805! 22uF/6.3V; C438
0805!0805! 22uF/6.3V; C439
0603!0603! 22PF/50V; C44
0603!0603! 0.1uF/16V; C440
0805!0805! 22uF/6.3V; C441
0805!0805! 22uF/6.3V; C442
0805!0805! 22uF/6.3V; C443
0805!0805! 22uF/6.3V; C444
0603!0603! 0.1uF/16V; C445
0603!0603! 0.1uF/16V; C446
0603!0603! 0.1uF/16V; C447
0603!0603! 0.1uF/16V; C448
0603!0603! 0.1uF/16V; C449
0603!0603! 22PF/50V; C45
0603!0603! 0.1uF/16V; C450
0603!0603! 0.1uF/16V; C451
0603!0603! 0.1uF/16V; C452
0603!0603! 0.1uF/16V; C453
0603!0603! 0.1uF/16V; C454
0805!0805! 22uF/6.3V; C455
0805!0805! 22uF/6.3V; C456
0805!0805! 22uF/6.3V; C457
0805!0805! 22uF/6.3V; C458
0603!0603! 0.1uF/16V; C459
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 220UF/16V; C46
0805!0805! 22uF/6.3V; C460
0805!0805! 22uF/6.3V; C461
0603!0603! 0.1uF/16V; C462
0805!0805! 22uF/6.3V; C463
0805!0805! 22uF/6.3V; C464
0603!0603! 0.1uF/16V; C465
1210!1210! 47uF/6.3V; C466
1210!1210! 47uF/6.3V; C467
0603!0603! 0.1uF/16V; C468
0603!0603! 0.1uF/16V; C469
0603!0603! 0.1uF/16V; C470
0603!0603! 0.1uF/16V; C471
0603!0603! 0.1uF/16V; C472
CAP_2__3!CAP_2__3! 1000PF/2KV; C473
CAP_2__3!CAP_2__3! 1000PF/2KV; C474
0603!0603! 0.1uF/16V; C475
0603!0603! 0.1uF/16V; C476
0603!0603! 0.1uF/16V; C477
0603!0603! 0.1uF/16V; C478
0603!0603! 0.01uF/50V; C487
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 220UF/16V; C5
0603!0603! 47pF/50V; C501
0603!0603! 47pF/50V; C502
0603!0603! 47pF/50V; C503
0603!0603! 47pF/50V; C504
0603!0603! 2.2uF/16V; C505
0603!0603! 2.2uF/16V; C506
0603!0603! 680pF/16V; C507
0603!0603! 680pF/16V; C508
0603!0603! 1nF/16V; C509
0603!0603! 680pF/16V; C510
0603!0603! 0.33uF/16V; C511
0603!0603! 0.1uF/16V; C512
0603!0603! 0.33uF/16V; C513
0603!0603! 1uF/16V; C514
0805!0805! 22uF/6.3V; C515
0603!0603! 0.01uF/16V; C521
0603!0603! 0.01uF/16V; C522
0603!0603! 0.01uF/16V; C523
0603!0603! 0.01uF/16V; C524
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C526
1210!1210! 22uF/16V; C533
0603!0603! 0.1uF/16V; C534
0805!0805! 22uF/6.3V; C535
0603!0603! 0.1uF/16V; C536
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C537
0603!0603! 0.1uF/16V; C543
0603!0603! 0.01uF/50V; C550
0603!0603! 0.01uF/50V; C551
0603!0603! 0.1uF/16V; C552
0603!0603! 0.1uF/16V; C553
1210!1210! 47uF/6.3V; C554
0805!0805! 22uF/6.3V; C555
0603!0603! 0.1uF/16V; C556
0805!0805! 22uF/6.3V; C557
0603!0603! 0.1uF/16V; C558
1210!1210! 22uF/16V; C559
0603!0603! 0.1uF/16V; C560
1210!1210! 47uF/6.3V; C561
0805!0805! 22uF/6.3V; C562
0805!0805! 22uF/6.3V; C563
0603!0603! 0.1uF/16V; C564
0805!0805! 22uF/6.3V; C565
0805!0805! 22uF/6.3V; C566
0603!0603! 0.1uF/16V; C567
1210!1210! 22uF/16V; C568
0603!0603! 0.1uF/16V; C569
0603!0603! 3900pF/50V; C570
0603!0603! 3900pF/50V; C571
0603!0603! 0.1uF/16V; C572
0603!0603! 3900pF/50V; C573
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C574
1210!1210! 22uF/16V; C575
1210!1210! 22uF/16V; C576
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C577
1210!1210! 22uF/16V; C578
0603!0603! 0.1uF/16V; C579
0603!0603! 0.1uF/16V; C580
0603!0603! 820pF/16V; C581
0603!0603! 0.1uF/16V; C582
0603!0603! 0.082uF/16V; C583
1210!1210! 47uF/6.3V; C584
1210!1210! 47uF/6.3V; C585
1210!1210! 47uF/6.3V; C586
1210!1210! 47uF/6.3V; C587
0603!0603! 0.1uF/16V; C588
1210!1210! 47uF/6.3V; C589
1210!1210! 47uF/6.3V; C590
0603!0603! 0.1uF/16V; C591
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C592
0603!0603! 1uF/16V; C593
0603!0603! 0.1uF/16V; C594
0805!0805! 4.7uF/16V; C595
0603!0603! 0.1uF/16V; C596
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C597
1210!1210! 22uF/16V; C598
0603!0603! 3900pF/50V; C599
0603!0603! 0.1uF/16V; C6
1210!1210! 22uF/16V; C600
1210!1210! 22uF/16V; C601
